;Date;Open;High;Low;Close;Adj Close;Volume;Symbol
353;12/20/2015;374.056;374.509;348.261;353.612;353.612;2853130.0;BTC-USD
354;12/21/2015;354.621;354.621;342.869;345.869;345.869;2244460.0;BTC-USD
355;12/22/2015;345.878;347.765;340.004;341.953;341.953;1366080.0;BTC-USD
356;12/23/2015;343.238;359.203;343.102;357.807;357.807;2274490.0;BTC-USD
357;12/24/2015;359.019;368.438;359.019;3.644;3.644;2530790.0;BTC-USD
358;12/25/2015;364.888;368.004;3.604;362.475;362.475;1628860.0;BTC-USD
359;12/26/2015;364.114;364.473;338.279;342.442;342.442;3880050.0;BTC-USD
360;12/27/2015;342.032;349.249;339.342;347.905;347.905;2048800.0;BTC-USD
361;12/28/2015;347.781;352.972;345.675;346.603;346.603;1647170.0;BTC-USD
362;12/29/2015;347.063;351.728;343.646;350.026;350.026;2161460.0;BTC-USD
363;12/30/2015;3.512;351.214;34.463;345.914;345.914;2202460.0;BTC-USD
364;12/31/2015;34.593;34.974;341.417;348.017;348.017;2667620.0;BTC-USD
365;1/1/2016;347.952;353.102;346.925;350.898;350.898;2791170.0;BTC-USD
366;1/2/2016;351.528;352.712;349.219;350.216;350.216;3020260.0;BTC-USD
367;1/3/2016;3.504;350.643;345.086;348.307;348.307;2406150.0;BTC-USD
368;1/4/2016;34.791;350.723;347.615;349.539;349.539;3309740.0;BTC-USD
369;1/5/2016;3.492;350.819;345.372;346.967;346.967;2104650.0;BTC-USD
370;1/6/2016;346.706;346.786;34.448;345.356;345.356;2208860.0;BTC-USD
371;1/7/2016;345.007;361.155;344.269;360.414;360.414;4560680.0;BTC-USD
372;1/8/2016;35.968;364.142;353.358;356.888;356.888;3277990.0;BTC-USD
373;1/9/2016;357.435;358.557;35.436;356.057;356.057;2934720.0;BTC-USD
374;1/10/2016;355.916;356.019;349.682;353.672;353.672;2462000.0;BTC-USD
375;1/11/2016;352.627;356.922;352.627;355.662;355.662;2931030.0;BTC-USD
376;1/12/2016;355.302;355.617;349.368;349.368;349.368;4566050.0;BTC-USD
377;1/13/2016;348.998;34.921;343.281;347.602;347.602;6745630.0;BTC-USD
378;1/14/2016;347.093;348.096;344.868;346.599;346.599;2044890.0;BTC-USD
379;1/15/2016;346.404;346.441;299.678;299.678;299.678;5117640.0;BTC-USD
380;1/16/2016;296.572;310.718;291.946;308.694;308.694;4170270.0;BTC-USD
381;1/17/2016;308.732;310.022;302.476;302.619;302.619;1905660.0;BTC-USD
382;1/18/2016;301.955;305.727;297.763;304.896;304.896;2304070.0;BTC-USD
383;1/19/2016;304.766;305.534;299.417;301.744;301.744;1626900.0;BTC-USD
384;1/20/2016;30.148;34.345;29.907;338.853;338.853;4438610.0;BTC-USD
385;1/21/2016;338.423;340.186;320.536;322.078;322.078;3665110.0;BTC-USD
386;1/22/2016;323.105;324.319;304.892;307.657;307.657;3589150.0;BTC-USD
387;1/23/2016;308.203;314.757;307.814;310.348;310.348;2384900.0;BTC-USD
388;1/24/2016;311.351;320.824;309.979;3.181;3.181;1806510.0;BTC-USD
389;1/25/2016;318.795;318.795;310.505;312.728;312.728;1940070.0;BTC-USD
390;1/26/2016;312.537;317.118;312.332;315.482;315.482;2926650.0;BTC-USD
391;1/27/2016;315.935;332.019;315.652;328.745;328.745;5341690.0;BTC-USD
392;1/28/2016;329.286;330.034;311.214;312.016;312.016;3075380.0;BTC-USD
393;1/29/2016;31.384;313.974;306.114;311.138;311.138;2555880.0;BTC-USD
394;1/30/2016;311.813;312.382;307.512;30.808;30.808;1298980.0;BTC-USD
395;1/31/2016;309.693;311.387;304.366;305.216;305.216;1450600.0;BTC-USD
396;2/1/2016;307.343;310.203;305.749;307.724;307.724;1502430.0;BTC-USD
397;2/2/2016;308.801;309.648;306.951;307.587;307.587;1279650.0;BTC-USD
398;2/3/2016;308.639;308.889;303.791;304.753;304.753;1406560.0;BTC-USD
399;2/4/2016;305.753;318.227;305.611;316.277;316.277;2059350.0;BTC-USD
400;2/5/2016;317.151;317.151;313.575;313.741;313.741;1211900.0;BTC-USD
401;2/6/2016;314.997;315.427;307.735;3.099;3.099;1394670.0;BTC-USD
402;2/7/2016;31.096;312.583;307.914;308.596;308.596;1168970.0;BTC-USD
403;2/8/2016;30.919;310.731;305.658;306.216;306.216;964279.0;BTC-USD
404;2/9/2016;307.608;308.223;305.094;308.155;308.155;1197280.0;BTC-USD
405;2/10/2016;308.898;313.349;307.745;309.525;309.525;1358800.0;BTC-USD
406;2/11/2016;311.214;312.565;307.076;307.562;307.562;1263660.0;BTC-USD
407;2/12/2016;309.224;311.612;308.286;311.187;311.187;1041630.0;BTC-USD
408;2/13/2016;311.812;314.051;311.405;312.969;312.969;1313500.0;BTC-USD
409;2/14/2016;314.773;321.307;314.773;321.059;321.059;1924190.0;BTC-USD
410;2/15/2016;323.204;325.298;317.072;318.251;318.251;1521240.0;BTC-USD
411;2/16/2016;320.227;322.452;317.954;320.901;320.901;1479430.0;BTC-USD
412;2/17/2016;322.731;326.487;320.164;324.103;324.103;1857460.0;BTC-USD
413;2/18/2016;32.452;327.355;323.026;325.143;325.143;1422270.0;BTC-USD
414;2/19/2016;326.045;327.257;323.054;325.279;325.279;1780240.0;BTC-USD
415;2/20/2016;326.811;350.172;326.065;345.799;345.799;3677250.0;BTC-USD
416;2/21/2016;345.997;358.364;340.012;346.427;346.427;3518950.0;BTC-USD
417;2/22/2016;346.592;351.263;343.241;348.363;348.363;2066780.0;BTC-USD
418;2/23/2016;348.881;35.247;338.036;339.693;339.693;2416790.0;BTC-USD
419;2/24/2016;340.327;342.482;332.423;337.487;337.487;1909510.0;BTC-USD
420;2/25/2016;338.611;339.982;333.364;336.552;336.552;1556360.0;BTC-USD
421;2/26/2016;336.949;341.679;332.423;341.679;341.679;1849390.0;BTC-USD
422;2/27/2016;342.881;344.905;339.277;341.288;341.288;731107.0;BTC-USD
423;2/28/2016;341.416;346.898;335.791;344.186;344.186;986849.0;BTC-USD
424;2/29/2016;34.412;348.975;342.049;344.611;344.611;1431670.0;BTC-USD
425;3/1/2016;344.835;345.429;341.013;343.297;343.297;1133580.0;BTC-USD
426;3/2/2016;343.436;344.049;336.502;336.502;336.502;1469810.0;BTC-USD
427;3/3/2016;336.374;336.374;330.526;332.353;332.353;1812040.0;BTC-USD
428;3/4/2016;33.215;334.873;324.751;325.023;325.023;1459960.0;BTC-USD
429;3/5/2016;325.172;325.186;313.297;319.216;319.216;1689010.0;BTC-USD
430;3/6/2016;319.149;325.364;317.429;322.165;322.165;1010650.0;BTC-USD
431;3/7/2016;322.162;327.264;320.126;326.775;326.775;1057270.0;BTC-USD
432;3/8/2016;327.141;327.564;322.684;325.422;325.422;918434.0;BTC-USD
433;3/9/2016;325.055;329.894;323.933;327.985;327.985;1247320.0;BTC-USD
434;3/10/2016;327.791;329.152;325.133;328.755;328.755;898376.0;BTC-USD
435;3/11/2016;328.632;340.406;328.601;33.847;33.847;1804450.0;BTC-USD
436;3/12/2016;339.113;339.192;327.497;329.018;329.018;1076560.0;BTC-USD
437;3/13/2016;328.942;332.438;328.404;33.074;33.074;1140930.0;BTC-USD
438;3/14/2016;330.909;33.279;329.075;330.352;330.352;670283.0;BTC-USD
439;3/15/2016;330.329;332.728;328.704;330.578;330.578;747107.0;BTC-USD
440;3/16/2016;330.711;331.799;329.534;330.939;330.939;692940.0;BTC-USD
441;3/17/2016;331.136;332.475;329.535;330.739;330.739;1038460.0;BTC-USD
442;3/18/2016;330.715;330.715;315.282;316.981;316.981;1502010.0;BTC-USD
443;3/19/2016;317.078;319.468;315.961;317.825;317.825;617579.0;BTC-USD
444;3/20/2016;318.153;321.036;317.824;320.555;320.555;926158.0;BTC-USD
445;3/21/2016;320.519;320.676;318.803;320.091;320.091;507480.0;BTC-USD
446;3/22/2016;320.004;324.006;319.804;323.472;323.472;1265140.0;BTC-USD
447;3/23/2016;323.384;325.418;32.216;32.428;32.428;1703040.0;BTC-USD
448;3/24/2016;324.502;325.109;321.639;32.247;32.247;1394180.0;BTC-USD
449;3/25/2016;322.784;3.237;32.143;322.907;322.907;1200290.0;BTC-USD
450;3/26/2016;322.772;323.897;32.126;323.057;323.057;1117430.0;BTC-USD
451;3/27/2016;323.182;332.495;322.509;33.036;33.036;2089890.0;BTC-USD
452;3/28/2016;330.291;330.291;325.682;326.406;326.406;1427140.0;BTC-USD
